num_topics_Total,alpha,beta,topicoAct,words
18,2.0,2.0,0, turbotax 0.08509 state 0.04177 return 0.03366 file 0.03166 filing 0.02093 forms 0.01914 step 0.01819 federal 0.01788 returns 0.0162 free 0.01522
18,2.0,2.0,1, quicken 0.10437 mac 0.02396 data 0.02197 accounts 0.0207 account 0.01414 transactions 0.01411 bank 0.01381 windows 0.01141 credit 0.00907 feature 0.00835
18,2.0,2.0,2, program 0.1249 need 0.05814 does 0.05106 information 0.04218 job 0.02415 gets 0.01079 programs 0.01022 input 0.00524 right 0.0046 enter 0.0045
18,2.0,2.0,3, works 0.06167 user 0.05816 love 0.05521 work 0.04633 like 0.02487 friendly 0.02146 needs 0.02136 happy 0.01975 easily 0.01716 having 0.01212
18,2.0,2.0,4, version 0.09906 just 0.0533 new 0.04966 upgrade 0.03525 2014 0.02049 features 0.02042 like 0.01702 old 0.01694 previous 0.01673 don 0.01602
18,2.0,2.0,5, download 0.03075 did 0.03002 intuit 0.02682 problems 0.02283 problem 0.01887 support 0.01446 update 0.01288 reviews 0.01252 didn 0.01176 went 0.01157
18,2.0,2.0,6, taxes 0.12485 amazon 0.03605 doing 0.03343 buy 0.02846 10 0.02717 got 0.02694 purchase 0.02264 refund 0.0204 paying 0.00919 deal 0.00905
18,2.0,2.0,7, easy 0.19954 good 0.09223 price 0.05158 quick 0.02755 accurate 0.01273 follow 0.0124 instructions 0.00847 usual 0.00743 value 0.00682 super 0.00467
18,2.0,2.0,8, simple 0.03258 excellent 0.0284 needed 0.02327 fast 0.02132 quickly 0.01827 expected 0.01671 thanks 0.01487 thank 0.01378 helps 0.01334 received 0.01323
18,2.0,2.0,9, business 0.06314 quickbooks 0.05755 small 0.02382 home 0.01946 accounting 0.01839 payroll 0.01833 qb 0.01579 online 0.01279 pro 0.01272 accountant 0.01261
18,2.0,2.0,10, tax 0.20908 year 0.14697 turbo 0.09553 tt 0.01335 income 0.00903 deluxe 0.0082 preparation 0.00792 block 0.00763 complicated 0.00753 rental 0.00709
18,2.0,2.0,11, using 0.14306 way 0.04411 best 0.04248 know 0.03084 continue 0.01753 products 0.01509 available 0.0148 say 0.0147 tried 0.00961 come 0.00788
18,2.0,2.0,12, use 0.26499 makes 0.04271 easier 0.04169 understand 0.01702 easy 0.01433 life 0.00909 navigate 0.00607 simple 0.00522 breeze 0.00487 task 0.00217
18,2.0,2.0,13, product 0.1866 great 0.14483 recommend 0.04932 highly 0.02213 recommended 0.00642 quality 0.0041 friends 0.00395 wonderful 0.00123 fantastic 0.00042 solid 0.00035
18,2.0,2.0,14, time 0.07879 money 0.04056 really 0.02822 make 0.02686 like 0.02145 lot 0.02043 little 0.02019 things 0.01824 long 0.01671 sure 0.01571
18,2.0,2.0,15, software 0.15568 worked 0.0403 able 0.0368 computer 0.0248 issues 0.02073 pleased 0.01443 package 0.00984 needed 0.00864 complaints 0.00403 having 0.00396
18,2.0,2.0,16, better 0.03222 help 0.02833 track 0.02779 personal 0.02118 finances 0.01972 helpful 0.01485 expenses 0.01331 tool 0.01153 ease 0.01086 wish 0.01086
18,2.0,2.0,17, years 0.2044 used 0.1452 ve 0.0756 past 0.02323 20 0.01325 ago 0.01055 15 0.01048 satisfied 0.00957 disappointed 0.00648 results 0.00567
